0.00000000000000e+00 0 
1.00000000000000e-01 0 
2.37899833079067e-01 0 
4.26473315700064e-01 0 
6.81132098007903e-01 0 
1.01853394361539e+00 0 
1.45249826285282e+00 0 
1.98508676309079e+00 0 
2.59156217200491e+00 0 
3.20441145541312e+00 0 
3.70394748823807e+00 1 
4.00146043512391e+00 1 
4.06077030479582e+00 2 
3.91596700126627e+00 2 
3.64703752260008e+00 3 
3.37218044146903e+00 5 
3.22186617790769e+00 6 
3.16407392423395e+00 8 
3.17063309897023e+00 9 
3.22234499156436e+00 11 
3.30653568865091e+00 12 
3.41473747384906e+00 14 
3.54115797135315e+00 15 
3.68173061345168e+00 17 
3.83352735248414e+00 18 
3.99438979252113e+00 20 
4.16269248790860e+00 21 
4.33718751558457e+00 23 
4.51690006475148e+00 24 
4.70105675726454e+00 26 
4.88903542521215e+00 27 
5.00158462418507e+00 28 
5.00000000000000e+00 28 
5.00000000000000e+00 28 
